imdb_title_id,original_title,year,genre,duration,language,production_company,avg_vote,votes,budget,Good_or_Bad_Movie
tt3195238,Dead Don't Die in Dallas,2019,"Action, Comedy, Horror",91,English,CalTex Films,4.4,115,150000,0
tt3138122,Into the Ashes,2019,"Crime, Drama, Mystery",98,English,Michael Bruce Pictures,5.4,2198,2000000,0
tt1478839,The Art of Racing in the Rain,2019,"Comedy, Drama, Romance",109,"English, Italian",Fox 2000 Pictures,7.6,21842,18000000,1
tt2789014,100 Acres of Hell,2019,"Action, Crime, Horror",85,English,100 Acres of Hell Productions,2.8,180,65000,0
tt1560220,Zombieland: Double Tap,2019,"Action, Adventure, Comedy",99,"English, Spanish, Italian, Inuktitut, Hindi",2.0 Entertainment,6.7,125294,42000000,0
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,"Action, Adventure, Fantasy",141,English,Walt Disney Pictures,6.6,347274,275000000,0
tt2452244,Isn't It Romantic,2019,"Comedy, Fantasy, Romance",89,English,BRON Studios,5.9,60192,31000000,0
tt1302006,The Irishman,2019,"Biography, Crime, Drama",209,"English, Italian, Latin, Spanish, German",Tribeca Productions,7.9,304528,159000000,1
tt7083526,Breakthrough,2019,"Biography, Drama",116,English,Fox 2000 Pictures,6.2,7728,14000000,0
tt1979376,Toy Story 4,2019,"Animation, Adventure, Comedy",100,English,Pixar Animation Studios,7.8,189129,200000000,1
tt8200742,Silhouette,2019,"Drama, Horror, Thriller",114,English,Absentia Pictures,5.5,1226,25000,0
tt8708304,I Trapped the Devil,2019,"Drama, Horror, Mystery",82,English,,4.8,1940,1000000,0
tt7979668,Hollywould,2019,"Crime, Mystery, Thriller",90,English,20/20 Visions Entertainment Group,3.6,101,250000,0
tt8106534,6 Underground,2019,"Action, Thriller",128,"English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French",Bay Films,6.1,129507,150000000,0
tt8134742,3 from Hell,2019,Horror,115,"English, Spanish",Capital Arts Entertainment,5.5,10404,3000000,0
tt7975244,Jumanji: The Next Level,2019,"Action, Adventure, Comedy",123,English,Matt Tolmach Productions,6.7,168698,125000000,0
tt9613316,Frances Ferguson,2019,Comedy,74,English,The Substitute,6.1,355,500000,0
tt8648640,Hollow Point,2019,Action,89,English,Halcyon Films,4.2,488,1000000,0
tt8425034,Bit,2019,"Comedy, Horror",90,English,Provocator,3.8,509,1500000,0
tt7879442,Butt Boy,2019,"Comedy, Sci-Fi, Thriller",99,English,Tiny Cinema,5.2,696,150000,0
tt7869070,The Fanatic,2019,"Crime, Thriller",88,English,Daniel Grodnik Productions,4.2,6509,18000000,0
tt9626278,Fourteen,2019,Drama,94,English,Static Prods.,6.9,303,95000,0
tt8408218,The Mercenary,2019,Action,91,English,War Dog Productions,5.4,545,15000000,0
tt7710160,Breaking Barbi,2019,Comedy,90,English,,5.1,835,1000000,0
tt7262990,Deadcon,2019,"Drama, Horror, Mystery",78,English,Gunpowder & Sky,2.8,892,100000,0
tt7847062,She Walks the Woods,2019,Horror,81,English,AEC,4.5,207,45000,0
tt9540232,Anna 2,2019,Horror,97,English,MGI Films,2.6,105,15000,0
tt9534808,Acceleration,2019,"Action, Crime, Thriller",85,English,7Heaven Productions,4.5,963,3000000,0
tt9659470,Night,2019,"Horror, Thriller",65,English,,3.9,668,1000,0
tt8717296,Incident at Montauk,2019,"Horror, Mystery, Sci-Fi",60,English,DeadFi Productions,2.6,157,7000,0
tt8085790,Little,2019,"Comedy, Fantasy, Romance",109,English,Universal Pictures,5.4,9887,20000000,0
tt7343762,Good Boys,2019,"Adventure, Comedy",90,English,Good Universe,6.7,55929,20000000,0
tt7634968,What Men Want,2019,"Comedy, Fantasy, Romance",117,"English, Mandarin",BET Films,5.2,20016,20000000,0
tt8946378,Knives Out,2019,"Comedy, Crime, Drama",130,"English, Spanish, Hindi",Lionsgate,7.9,377903,40000000,1
tt8976710,Sextuplets,2019,Comedy,97,English,Wayans Alvarez Productions,4.4,6834,32000000,0
tt9024106,Unplanned,2019,"Biography, Drama",109,English,Unplanned Movie,5.8,12182,6000000,0
tt8801584,Sunrise in Heaven,2019,"Drama, Romance",85,English,Nasser Group,6.4,1063,1100000,0
tt9134216,Playing with Fire,2019,"Comedy, Family",96,"English, Spanish",Broken Road Productions,5.0,8766,29900000,0
tt8211258,Chop Chop Chang: Operation C.H.I.M.P,2019,Comedy,101,English,Clown Town Productions,7.1,307,250000,1
tt7657364,Gothic Harvest,2019,Horror,82,English,Align Entertainment,3.3,253,1000000,0
tt8773662,Vengeance,2019,Horror,95,English,Real Fiction Studios,5.6,230,50000,0
tt9228950,Malibu Rescue,2019,"Action, Adventure, Comedy",68,English,Pacific Bay Entertainment,4.8,866,5000000,0
tt9425078,Verotika,2019,Horror,90,English,Dark Risen Pictures,1.9,959,1000000,0
